2019-12-03 12:03:31 INFO  MemoryStore:54 - Block broadcast_0 stored as values in memory (estimated size 236.7 KB, free 366.1 MB)
2019-12-03 12:03:31 INFO  MemoryStore:54 - Block broadcast_0_piece0 stored as bytes in memory (estimated size 22.9 KB, free 366.0 MB)
2019-12-03 12:03:31 INFO  BlockManagerInfo:54 - Added broadcast_0_piece0 in memory on cssmpi1.uwb.edu:42909 (size: 22.9 KB, free: 366.3 MB)
2019-12-03 12:03:31 INFO  SparkContext:54 - Created broadcast 0 from textFile at Kmeans.java:42
2019-12-03 12:03:31 INFO  FileInputFormat:249 - Total input paths to process : 1
2019-12-03 12:03:31 INFO  SparkContext:54 - Starting job: takeSample at Kmeans.java:54
2019-12-03 12:03:31 INFO  DAGScheduler:54 - Got job 0 (takeSample at Kmeans.java:54) with 2 output partitions
2019-12-03 12:03:31 INFO  DAGScheduler:54 - Final stage: ResultStage 0 (takeSample at Kmeans.java:54)
2019-12-03 12:03:31 INFO  DAGScheduler:54 - Parents of final stage: List()
2019-12-03 12:03:31 INFO  DAGScheduler:54 - Missing parents: List()
2019-12-03 12:03:31 INFO  DAGScheduler:54 - Submitting ResultStage 0 (MapPartitionsRDD[2] at map at Kmeans.java:45), which has no missing parents
2019-12-03 12:03:31 INFO  MemoryStore:54 - Block broadcast_1 stored as values in memory (estimated size 4.2 KB, free 366.0 MB)
2019-12-03 12:03:31 INFO  MemoryStore:54 - Block broadcast_1_piece0 stored as bytes in memory (estimated size 2.5 KB, free 366.0 MB)
2019-12-03 12:03:31 INFO  BlockManagerInfo:54 - Added broadcast_1_piece0 in memory on cssmpi1.uwb.edu:42909 (size: 2.5 KB, free: 366.3 MB)
2019-12-03 12:03:31 INFO  SparkContext:54 - Created broadcast 1 from broadcast at DAGScheduler.scala:1039
2019-12-03 12:03:31 INFO  DAGScheduler:54 - Submitting 2 missing tasks from ResultStage 0 (MapPartitionsRDD[2] at map at Kmeans.java:45) (first 15 tasks are for partitions Vector(0, 1))
2019-12-03 12:03:31 INFO  TaskSchedulerImpl:54 - Adding task set 0.0 with 2 tasks
2019-12-03 12:03:32 INFO  CoarseGrainedSchedulerBackend$DriverEndpoint:54 - Registered executor NettyRpcEndpointRef(spark-client://Executor) (172.28.203.196:55458) with ID 0
2019-12-03 12:03:32 INFO  TaskSetManager:54 - Starting task 0.0 in stage 0.0 (TID 0, 172.28.203.196, executor 0, partition 0, PROCESS_LOCAL, 7899 bytes)
2019-12-03 12:03:32 INFO  BlockManagerMasterEndpoint:54 - Registering block manager 172.28.203.196:32977 with 366.3 MB RAM, BlockManagerId(0, 172.28.203.196, 32977, None)
2019-12-03 12:03:33 INFO  BlockManagerInfo:54 - Added broadcast_1_piece0 in memory on 172.28.203.196:32977 (size: 2.5 KB, free: 366.3 MB)
2019-12-03 12:03:33 INFO  BlockManagerInfo:54 - Added broadcast_0_piece0 in memory on 172.28.203.196:32977 (size: 22.9 KB, free: 366.3 MB)
2019-12-03 12:03:33 INFO  BlockManagerInfo:54 - Added rdd_2_0 in memory on 172.28.203.196:32977 (size: 1754.7 KB, free: 364.6 MB)
2019-12-03 12:03:33 INFO  TaskSetManager:54 - Starting task 1.0 in stage 0.0 (TID 1, 172.28.203.196, executor 0, partition 1, PROCESS_LOCAL, 7899 bytes)
2019-12-03 12:03:33 INFO  TaskSetManager:54 - Finished task 0.0 in stage 0.0 (TID 0) in 1174 ms on 172.28.203.196 (executor 0) (1/2)
2019-12-03 12:03:34 INFO  BlockManagerInfo:54 - Added rdd_2_1 in memory on 172.28.203.196:32977 (size: 1757.8 KB, free: 362.8 MB)
2019-12-03 12:03:34 INFO  TaskSetManager:54 - Finished task 1.0 in stage 0.0 (TID 1) in 211 ms on 172.28.203.196 (executor 0) (2/2)
2019-12-03 12:03:34 INFO  TaskSchedulerImpl:54 - Removed TaskSet 0.0, whose tasks have all completed, from pool 
2019-12-03 12:03:34 INFO  DAGScheduler:54 - ResultStage 0 (takeSample at Kmeans.java:54) finished in 2.422 s
2019-12-03 12:03:34 INFO  DAGScheduler:54 - Job 0 finished: takeSample at Kmeans.java:54, took 2.485216 s
2019-12-03 12:03:34 INFO  SparkContext:54 - Starting job: takeSample at Kmeans.java:54
